"행정구역","2026년01월_거주자_총인구수","2026년01월_거주자_연령구간인구수","2026년01월_거주자_0~9세","2026년01월_거주자_10~19세","2026년01월_거주자_20~29세","2026년01월_거주자_30~39세","2026년01월_거주자_40~49세","2026년01월_거주자_50~59세","2026년01월_거주자_60~69세","2026년01월_거주자_70~79세","2026년01월_거주자_80~89세","2026년01월_거주자_90~99세","2026년01월_거주자_100세 이상","2026년01월_남_거주자_총인구수","2026년01월_남_거주자_연령구간인구수","2026년01월_남_거주자_0~9세","2026년01월_남_거주자_10~19세","2026년01월_남_거주자_20~29세","2026년01월_남_거주자_30~39세","2026년01월_남_거주자_40~49세","2026년01월_남_거주자_50~59세","2026년01월_남_거주자_60~69세","2026년01월_남_거주자_70~79세","2026년01월_남_거주자_80~89세","2026년01월_남_거주자_90~99세","2026년01월_남_거주자_100세 이상","2026년01월_여_거주자_총인구수","2026년01월_여_거주자_연령구간인구수","2026년01월_여_거주자_0~9세","2026년01월_여_거주자_10~19세","2026년01월_여_거주자_20~29세","2026년01월_여_거주자_30~39세","2026년01월_여_거주자_40~49세","2026년01월_여_거주자_50~59세","2026년01월_여_거주자_60~69세","2026년01월_여_거주자_70~79세","2026년01월_여_거주자_80~89세","2026년01월_여_거주자_90~99세","2026년01월_여_거주자_100세 이상","2026년02월_거주자_총인구수","2026년02월_거주자_연령구간인구수","2026년02월_거주자_0~9세","2026년02월_거주자_10~19세","2026년02월_거주자_20~29세","2026년02월_거주자_30~39세","2026년02월_거주자_40~49세","2026년02월_거주자_50~59세","2026년02월_거주자_60~69세","2026년02월_거주자_70~79세","2026년02월_거주자_80~89세","2026년02월_거주자_90~99세","2026년02월_거주자_100세 이상","2026년02월_남_거주자_총인구수","2026년02월_남_거주자_연령구간인구수","2026년02월_남_거주자_0~9세","2026년02월_남_거주자_10~19세","2026년02월_남_거주자_20~29세","2026년02월_남_거주자_30~39세","2026년02월_남_거주자_40~49세","2026년02월_남_거주자_50~59세","2026년02월_남_거주자_60~69세","2026년02월_남_거주자_70~79세","2026년02월_남_거주자_80~89세","2026년02월_남_거주자_90~99세","2026년02월_남_거주자_100세 이상","2026년02월_여_거주자_총인구수","2026년02월_여_거주자_연령구간인구수","2026년02월_여_거주자_0~9세","2026년02월_여_거주자_10~19세","2026년02월_여_거주자_20~29세","2026년02월_여_거주자_30~39세","2026년02월_여_거주자_40~49세","2026년02월_여_거주자_50~59세","2026년02월_여_거주자_60~69세","2026년02월_여_거주자_70~79세","2026년02월_여_거주자_80~89세","2026년02월_여_거주자_90~99세","2026년02월_여_거주자_100세 이상","2026년03월_거주자_총인구수","2026년03월_거주자_연령구간인구수","2026년03월_거주자_0~9세","2026년03월_거주자_10~19세","2026년03월_거주자_20~29세","2026년03월_거주자_30~39세","2026년03월_거주자_40~49세","2026년03월_거주자_50~59세","2026년03월_거주자_60~69세","2026년03월_거주자_70~79세","2026년03월_거주자_80~89세","2026년03월_거주자_90~99세","2026년03월_거주자_100세 이상","2026년03월_남_거주자_총인구수","2026년03월_남_거주자_연령구간인구수","2026년03월_남_거주자_0~9세","2026년03월_남_거주자_10~19세","2026년03월_남_거주자_20~29세","2026년03월_남_거주자_30~39세","2026년03월_남_거주자_40~49세","2026년03월_남_거주자_50~59세","2026년03월_남_거주자_60~69세","2026년03월_남_거주자_70~79세","2026년03월_남_거주자_80~89세","2026년03월_남_거주자_90~99세","2026년03월_남_거주자_100세 이상","2026년03월_여_거주자_총인구수","2026년03월_여_거주자_연령구간인구수","2026년03월_여_거주자_0~9세","2026년03월_여_거주자_10~19세","2026년03월_여_거주자_20~29세","2026년03월_여_거주자_30~39세","2026년03월_여_거주자_40~49세","2026년03월_여_거주자_50~59세","2026년03월_여_거주자_60~69세","2026년03월_여_거주자_70~79세","2026년03월_여_거주자_80~89세","2026년03월_여_거주자_90~99세","2026년03월_여_거주자_100세 이상","2026년04월_거주자_총인구수","2026년04월_거주자_연령구간인구수","2026년04월_거주자_0~9세","2026년04월_거주자_10~19세","2026년04월_거주자_20~29세","2026년04월_거주자_30~39세","2026년04월_거주자_40~49세","2026년04월_거주자_50~59세","2026년04월_거주자_60~69세","2026년04월_거주자_70~79세","2026년04월_거주자_80~89세","2026년04월_거주자_90~99세","2026년04월_거주자_100세 이상","2026년04월_남_거주자_총인구수","2026년04월_남_거주자_연령구간인구수","2026년04월_남_거주자_0~9세","2026년04월_남_거주자_10~19세","2026년04월_남_거주자_20~29세","2026년04월_남_거주자_30~39세","2026년04월_남_거주자_40~49세","2026년04월_남_거주자_50~59세","2026년04월_남_거주자_60~69세","2026년04월_남_거주자_70~79세","2026년04월_남_거주자_80~89세","2026년04월_남_거주자_90~99세","2026년04월_남_거주자_100세 이상","2026년04월_여_거주자_총인구수","2026년04월_여_거주자_연령구간인구수","2026년04월_여_거주자_0~9세","2026년04월_여_거주자_10~19세","2026년04월_여_거주자_20~29세","2026년04월_여_거주자_30~39세","2026년04월_여_거주자_40~49세","2026년04월_여_거주자_50~59세","2026년04월_여_거주자_60~69세","2026년04월_여_거주자_70~79세","2026년04월_여_거주자_80~89세","2026년04월_여_거주자_90~99세","2026년04월_여_거주자_100세 이상","2026년05월_거주자_총인구수","2026년05월_거주자_연령구간인구수","2026년05월_거주자_0~9세","2026년05월_거주자_10~19세","2026년05월_거주자_20~29세","2026년05월_거주자_30~39세","2026년05월_거주자_40~49세","2026년05월_거주자_50~59세","2026년05월_거주자_60~69세","2026년05월_거주자_70~79세","2026년05월_거주자_80~89세","2026년05월_거주자_90~99세","2026년05월_거주자_100세 이상","2026년05월_남_거주자_총인구수","2026년05월_남_거주자_연령구간인구수","2026년05월_남_거주자_0~9세","2026년05월_남_거주자_10~19세","2026년05월_남_거주자_20~29세","2026년05월_남_거주자_30~39세","2026년05월_남_거주자_40~49세","2026년05월_남_거주자_50~59세","2026년05월_남_거주자_60~69세","2026년05월_남_거주자_70~79세","2026년05월_남_거주자_80~89세","2026년05월_남_거주자_90~99세","2026년05월_남_거주자_100세 이상","2026년05월_여_거주자_총인구수","2026년05월_여_거주자_연령구간인구수","2026년05월_여_거주자_0~9세","2026년05월_여_거주자_10~19세","2026년05월_여_거주자_20~29세","2026년05월_여_거주자_30~39세","2026년05월_여_거주자_40~49세","2026년05월_여_거주자_50~59세","2026년05월_여_거주자_60~69세","2026년05월_여_거주자_70~79세","2026년05월_여_거주자_80~89세","2026년05월_여_거주자_90~99세","2026년05월_여_거주자_100세 이상","2026년06월_거주자_총인구수","2026년06월_거주자_연령구간인구수","2026년06월_거주자_0~9세","2026년06월_거주자_10~19세","2026년06월_거주자_20~29세","2026년06월_거주자_30~39세","2026년06월_거주자_40~49세","2026년06월_거주자_50~59세","2026년06월_거주자_60~69세","2026년06월_거주자_70~79세","2026년06월_거주자_80~89세","2026년06월_거주자_90~99세","2026년06월_거주자_100세 이상","2026년06월_남_거주자_총인구수","2026년06월_남_거주자_연령구간인구수","2026년06월_남_거주자_0~9세","2026년06월_남_거주자_10~19세","2026년06월_남_거주자_20~29세","2026년06월_남_거주자_30~39세","2026년06월_남_거주자_40~49세","2026년06월_남_거주자_50~59세","2026년06월_남_거주자_60~69세","2026년06월_남_거주자_70~79세","2026년06월_남_거주자_80~89세","2026년06월_남_거주자_90~99세","2026년06월_남_거주자_100세 이상","2026년06월_여_거주자_총인구수","2026년06월_여_거주자_연령구간인구수","2026년06월_여_거주자_0~9세","2026년06월_여_거주자_10~19세","2026년06월_여_거주자_20~29세","2026년06월_여_거주자_30~39세","2026년06월_여_거주자_40~49세","2026년06월_여_거주자_50~59세","2026년06월_여_거주자_60~69세","2026년06월_여_거주자_70~79세","2026년06월_여_거주자_80~89세","2026년06월_여_거주자_90~99세","2026년06월_여_거주자_100세 이상"
"서울특별시 강남구 (1168000000)","548,767","548,767","31,839","63,729","62,434","79,541","98,437","86,861","62,427","43,758","16,965","2,696","80","261,991","261,991","16,358","33,230","29,295","37,385","44,777","43,465","29,258","19,592","7,817","796","18","286,776","286,776","15,481","30,499","33,139","42,156","53,660","43,396","33,169","24,166","9,148","1,900","62","548,452","548,452","31,874","63,674","61,971","79,181","98,569","86,902","62,425","44,015","17,037","2,723","81","261,834","261,834","16,414","33,166","29,106","37,199","44,869","43,458","29,247","19,707","7,842","807","19","286,618","286,618","15,460","30,508","32,865","41,982","53,700","43,444","33,178","24,308","9,195","1,916","62","547,136","547,136","31,655","63,494","61,556","79,038","98,059","86,757","62,313","44,307","17,137","2,736","84","261,114","261,114","16,322","33,035","28,865","37,137","44,614","43,385","29,226","19,793","7,907","811","19","286,022","286,022","15,333","30,459","32,691","41,901","53,445","43,372","33,087","24,514","9,230","1,925","65","546,252","546,252","31,482","63,468","61,265","78,741","97,727","86,883","62,203","44,413","17,214","2,768","88","260,604","260,604","16,233","33,006","28,701","36,968","44,482","43,389","29,215","19,814","7,958","818","20","285,648","285,648","15,249","30,462","32,564","41,773","53,245","43,494","32,988","24,599","9,256","1,950","68","545,960","545,960","31,300","63,414","61,139","78,633","97,569","87,027","62,077","44,634","17,285","2,794","88","260,452","260,452","16,144","32,996","28,600","36,900","44,434","43,464","29,167","19,904","7,993","831","19","285,508","285,508","15,156","30,418","32,539","41,733","53,135","43,563","32,910","24,730","9,292","1,963","69","545,825","545,825","31,200","63,406","61,063","78,442","97,431","87,140","62,109","44,722","17,426","2,800","86","260,345","260,345","16,094","32,978","28,555","36,801","44,326","43,520","29,224","19,943","8,053","833","18","285,480","285,480","15,106","30,428","32,508","41,641","53,105","43,620","32,885","24,779","9,373","1,967","68"
"서울특별시 강남구 신사동(1168051000)","14,759","14,759","778","1,441","1,742","1,893","2,298","2,541","1,717","1,430","776","140","3","6,889","6,889","398","700","813","858","1,056","1,211","814","624","357","58","0","7,870","7,870","380","741","929","1,035","1,242","1,330","903","806","419","82","3","14,756","14,756","776","1,455","1,752","1,857","2,310","2,541","1,720","1,434","772","136","3","6,902","6,902","399","708","816","845","1,062","1,216","818","625","358","55","0","7,854","7,854","377","747","936","1,012","1,248","1,325","902","809","414","81","3","14,697","14,697","768","1,456","1,742","1,843","2,290","2,537","1,714","1,436","771","136","4","6,871","6,871","396","702","814","839","1,055","1,210","812","628","360","55","0","7,826","7,826","372","754","928","1,004","1,235","1,327","902","808","411","81","4","14,713","14,713","766","1,460","1,734","1,846","2,289","2,543","1,714","1,434","785","138","4","6,884","6,884","395","706","810","837","1,061","1,206","821","627","368","53","0","7,829","7,829","371","754","924","1,009","1,228","1,337","893","807","417","85","4","14,710","14,710","762","1,456","1,735","1,835","2,288","2,551","1,717","1,437","790","135","4","6,882","6,882","393","700","812","830","1,065","1,203","828","626","372","53","0","7,828","7,828","369","756","923","1,005","1,223","1,348","889","811","418","82","4","14,697","14,697","757","1,449","1,729","1,830","2,294","2,543","1,722","1,439","797","132","5","6,878","6,878","391","699","805","829","1,067","1,200","833","626","377","51","0","7,819","7,819","366","750","924","1,001","1,227","1,343","889","813","420","81","5"
"서울특별시 강남구 논현1동(1168052100)","20,080","20,080","479","822","3,300","5,152","3,417","2,688","2,055","1,433","644","86","4","9,484","9,484","217","403","1,437","2,620","1,587","1,334","948","619","292","25","2","10,596","10,596","262","419","1,863","2,532","1,830","1,354","1,107","814","352","61","2","20,108","20,108","469","831","3,279","5,128","3,455","2,709","2,058","1,441","646","88","4","9,528","9,528","216","408","1,433","2,628","1,607","1,341","950","622","294","27","2","10,580","10,580","253","423","1,846","2,500","1,848","1,368","1,108","819","352","61","2","20,156","20,156","465","845","3,264","5,153","3,458","2,714","2,062","1,447","656","88","4","9,533","9,533","215","411","1,424","2,628","1,604","1,347","959","618","298","27","2","10,623","10,623","250","434","1,840","2,525","1,854","1,367","1,103","829","358","61","2","20,144","20,144","470","833","3,253","5,151","3,457","2,713","2,058","1,457","660","87","5","9,505","9,505","218","409","1,399","2,619","1,607","1,336","967","622","299","27","2","10,639","10,639","252","424","1,854","2,532","1,850","1,377","1,091","835","361","60","3","20,152","20,152","475","830","3,215","5,183","3,456","2,711","2,056","1,476","656","89","5","9,510","9,510","223","414","1,369","2,626","1,609","1,347","960","632","300","28","2","10,642","10,642","252","416","1,846","2,557","1,847","1,364","1,096","844","356","61","3","20,037","20,037","472","814","3,199","5,146","3,437","2,682","2,068","1,464","660","90","5","9,462","9,462","226","403","1,365","2,609","1,604","1,332","963","628","302","28","2","10,575","10,575","246","411","1,834","2,537","1,833","1,350","1,105","836","358","62","3"
"서울특별시 강남구 논현2동(1168053100)","19,600","19,600","778","1,168","2,732","4,024","3,483","3,024","2,056","1,537","692","100","6","9,120","9,120","392","617","1,214","1,859","1,634","1,453","968","638","314","30","1","10,480","10,480","386","551","1,518","2,165","1,849","1,571","1,088","899","378","70","5","19,576","19,576","769","1,165","2,724","4,021","3,472","3,021","2,072","1,531","696","99","6","9,114","9,114","391","612","1,211","1,870","1,621","1,447","981","637","314","29","1","10,462","10,462","378","553","1,513","2,151","1,851","1,574","1,091","894","382","70","5","19,556","19,556","773","1,174","2,706","3,999","3,460","3,031","2,072","1,537","693","105","6","9,112","9,112","396","615","1,189","1,881","1,611","1,452","982","641","311","33","1","10,444","10,444","377","559","1,517","2,118","1,849","1,579","1,090","896","382","72","5","19,592","19,592","766","1,185","2,701","3,975","3,480","3,040","2,088","1,546","698","107","6","9,116","9,116","391","614","1,183","1,872","1,621","1,454","987","645","313","35","1","10,476","10,476","375","571","1,518","2,103","1,859","1,586","1,101","901","385","72","5","19,597","19,597","766","1,197","2,669","3,983","3,492","3,040","2,088","1,542","706","108","6","9,107","9,107","390","618","1,165","1,867","1,626","1,462","987","640","316","35","1","10,490","10,490","376","579","1,504","2,116","1,866","1,578","1,101","902","390","73","5","19,611","19,611","768","1,201","2,683","3,990","3,474","3,051","2,093","1,542","697","107","5","9,108","9,108","390","619","1,176","1,867","1,614","1,469","993","637","307","35","1","10,503","10,503","378","582","1,507","2,123","1,860","1,582","1,100","905","390","72","4"
"서울특별시 강남구 압구정동(1168054500)","25,042","25,042","1,696","2,734","2,553","2,722","4,089","4,172","3,115","2,472","1,274","209","6","11,648","11,648","855","1,315","1,211","1,215","1,847","1,994","1,468","1,061","606","74","2","13,394","13,394","841","1,419","1,342","1,507","2,242","2,178","1,647","1,411","668","135","4","25,070","25,070","1,680","2,749","2,550","2,701","4,090","4,195","3,113","2,486","1,285","215","6","11,649","11,649","838","1,332","1,209","1,198","1,849","1,999","1,476","1,061","607","78","2","13,421","13,421","842","1,417","1,341","1,503","2,241","2,196","1,637","1,425","678","137","4","25,013","25,013","1,677","2,739","2,516","2,706","4,077","4,186","3,090","2,512","1,288","216","6","11,615","11,615","839","1,327","1,185","1,194","1,841","1,995","1,476","1,068","610","78","2","13,398","13,398","838","1,412","1,331","1,512","2,236","2,191","1,614","1,444","678","138","4","24,975","24,975","1,675","2,741","2,494","2,695","4,046","4,199","3,108","2,516","1,278","216","7","11,602","11,602","837","1,331","1,177","1,192","1,823","2,002","1,482","1,072","607","76","3","13,373","13,373","838","1,410","1,317","1,503","2,223","2,197","1,626","1,444","671","140","4","24,956","24,956","1,669","2,730","2,493","2,668","4,060","4,205","3,103","2,527","1,283","213","5","11,592","11,592","834","1,324","1,175","1,179","1,832","2,009","1,478","1,075","608","76","2","13,364","13,364","835","1,406","1,318","1,489","2,228","2,196","1,625","1,452","675","137","3","24,960","24,960","1,664","2,740","2,487","2,651","4,054","4,215","3,099","2,536","1,291","218","5","11,582","11,582","838","1,325","1,168","1,173","1,818","2,014","1,471","1,085","610","78","2","13,378","13,378","826","1,415","1,319","1,478","2,236","2,201","1,628","1,451","681","140","3"
"서울특별시 강남구 청담동(1168056500)","25,230","25,230","1,583","2,338","2,983","3,582","4,433","4,075","3,210","2,028","866","128","4","11,789","11,789","850","1,230","1,376","1,550","1,974","1,927","1,517","900","429","35","1","13,441","13,441","733","1,108","1,607","2,032","2,459","2,148","1,693","1,128","437","93","3","25,480","25,480","1,593","2,389","2,993","3,602","4,491","4,108","3,236","2,058","872","134","4","11,892","11,892","852","1,256","1,381","1,560","1,995","1,942","1,525","911","432","37","1","13,588","13,588","741","1,133","1,612","2,042","2,496","2,166","1,711","1,147","440","97","3","25,618","25,618","1,596","2,405","2,990","3,628","4,503","4,142","3,254","2,073","888","135","4","11,935","11,935","858","1,252","1,369","1,573","2,003","1,955","1,528","918","440","38","1","13,683","13,683","738","1,153","1,621","2,055","2,500","2,187","1,726","1,155","448","97","3","25,680","25,680","1,601","2,403","2,991","3,627","4,508","4,157","3,282","2,084","887","137","3","11,964","11,964","859","1,249","1,374","1,580","2,004","1,949","1,547","919","443","39","1","13,716","13,716","742","1,154","1,617","2,047","2,504","2,208","1,735","1,165","444","98","2","25,782","25,782","1,602","2,398","3,019","3,648","4,509","4,184","3,288","2,106","887","138","3","12,020","12,020","860","1,257","1,389","1,584","2,004","1,966","1,550","924","446","39","1","13,762","13,762","742","1,141","1,630","2,064","2,505","2,218","1,738","1,182","441","99","2","25,875","25,875","1,616","2,416","3,028","3,647","4,521","4,206","3,294","2,101","906","137","3","12,070","12,070","868","1,263","1,395","1,587","2,016","1,967","1,555","921","458","39","1","13,805","13,805","748","1,153","1,633","2,060","2,505","2,239","1,739","1,180","448","98","2"
"서울특별시 강남구 삼성1동(1168058000)","12,480","12,480","640","1,153","1,468","1,750","1,887","2,076","1,700","1,245","494","67","0","6,055","6,055","324","639","773","845","848","994","804","575","231","22","0","6,425","6,425","316","514","695","905","1,039","1,082","896","670","263","45","0","12,489","12,489","641","1,148","1,463","1,725","1,896","2,095","1,701","1,249","502","69","0","6,055","6,055","325","631","780","829","855","1,000","803","576","232","24","0","6,434","6,434","316","517","683","896","1,041","1,095","898","673","270","45","0","12,494","12,494","648","1,139","1,464","1,734","1,889","2,100","1,684","1,262","505","69","0","6,058","6,058","328","628","794","828","849","1,001","794","577","236","23","0","6,436","6,436","320","511","670","906","1,040","1,099","890","685","269","46","0","12,486","12,486","651","1,130","1,484","1,720","1,877","2,103","1,687","1,259","506","69","0","6,054","6,054","332","624","805","814","847","1,004","797","570","238","23","0","6,432","6,432","319","506","679","906","1,030","1,099","890","689","268","46","0","12,482","12,482","644","1,130","1,466","1,739","1,875","2,102","1,690","1,261","505","70","0","6,059","6,059","328","628","792","824","848","1,009","797","571","238","24","0","6,423","6,423","316","502","674","915","1,027","1,093","893","690","267","46","0","12,508","12,508","651","1,123","1,475","1,741","1,873","2,108","1,694","1,266","509","67","1","6,075","6,075","329","624","799","831","845","1,008","799","575","240","24","1","6,433","6,433","322","499","676","910","1,028","1,100","895","691","269","43","0"
"서울특별시 강남구 삼성2동(1168059000)","29,900","29,900","1,704","3,438","3,699","4,545","5,737","5,150","2,623","1,943","944","113","4","14,222","14,222","902","1,889","1,756","2,043","2,478","2,585","1,252","824","460","33","0","15,678","15,678","802","1,549","1,943","2,502","3,259","2,565","1,371","1,119","484","80","4","29,888","29,888","1,675","3,449","3,692","4,537","5,713","5,185","2,632","1,948","944","110","3","14,211","14,211","893","1,886","1,759","2,037","2,471","2,597","1,253","823","461","31","0","15,677","15,677","782","1,563","1,933","2,500","3,242","2,588","1,379","1,125","483","79","3","29,831","29,831","1,667","3,437","3,681","4,525","5,676","5,192","2,638","1,955","951","106","3","14,165","14,165","877","1,886","1,746","2,031","2,451","2,600","1,253","826","464","31","0","15,666","15,666","790","1,551","1,935","2,494","3,225","2,592","1,385","1,129","487","75","3","29,812","29,812","1,668","3,419","3,660","4,506","5,665","5,220","2,628","1,975","958","109","4","14,167","14,167","884","1,870","1,740","2,023","2,455","2,615","1,248","834","465","33","0","15,645","15,645","784","1,549","1,920","2,483","3,210","2,605","1,380","1,141","493","76","4","29,770","29,770","1,658","3,402","3,642","4,506","5,637","5,235","2,626","1,979","971","111","3","14,146","14,146","879","1,861","1,723","2,030","2,444","2,614","1,254","834","472","35","0","15,624","15,624","779","1,541","1,919","2,476","3,193","2,621","1,372","1,145","499","76","3","29,747","29,747","1,663","3,399","3,617","4,492","5,626","5,243","2,625","1,988","978","113","3","14,133","14,133","883","1,851","1,718","2,020","2,438","2,617","1,263","832","476","35","0","15,614","15,614","780","1,548","1,899","2,472","3,188","2,626","1,362","1,156","502","78","3"
"서울특별시 강남구 대치1동(1168060000)","23,512","23,512","1,417","5,370","2,116","1,212","5,172","4,227","2,068","1,393","464","71","2","11,814","11,814","737","3,019","1,134","491","2,175","2,293","1,024","673","245","23","0","11,698","11,698","680","2,351","982","721","2,997","1,934","1,044","720","219","48","2","23,503","23,503","1,442","5,345","2,087","1,221","5,159","4,231","2,066","1,414","464","72","2","11,814","11,814","756","2,993","1,124","495","2,175","2,293","1,024","689","243","22","0","11,689","11,689","686","2,352","963","726","2,984","1,938","1,042","725","221","50","2","23,437","23,437","1,405","5,332","2,086","1,210","5,121","4,237","2,074","1,429","465","76","2","11,759","11,759","738","2,976","1,120","487","2,159","2,289","1,031","694","242","23","0","11,678","11,678","667","2,356","966","723","2,962","1,948","1,043","735","223","53","2","23,398","23,398","1,376","5,329","2,100","1,192","5,078","4,273","2,070","1,423","479","76","2","11,756","11,756","726","2,980","1,127","480","2,138","2,312","1,028","692","249","24","0","11,642","11,642","650","2,349","973","712","2,940","1,961","1,042","731","230","52","2","23,367","23,367","1,343","5,329","2,093","1,198","5,061","4,293","2,055","1,433","478","82","2","11,746","11,746","711","2,977","1,127","483","2,126","2,324","1,024","699","249","26","0","11,621","11,621","632","2,352","966","715","2,935","1,969","1,031","734","229","56","2","23,369","23,369","1,334","5,320","2,108","1,192","5,050","4,311","2,051","1,442","478","81","2","11,746","11,746","711","2,969","1,134","478","2,122","2,331","1,023","704","249","25","0","11,623","11,623","623","2,351","974","714","2,928","1,980","1,028","738","229","56","2"
"서울특별시 강남구 대치2동(1168061000)","38,130","38,130","2,185","7,016","3,486","3,146","7,559","6,590","4,204","2,944","868","128","4","19,387","19,387","1,169","4,244","1,857","1,484","3,259","3,460","1,980","1,431","458","44","1","18,743","18,743","1,016","2,772","1,629","1,662","4,300","3,130","2,224","1,513","410","84","3","38,106","38,106","2,216","6,984","3,451","3,118","7,599","6,544","4,212","2,974","875","129","4","19,361","19,361","1,191","4,223","1,829","1,459","3,290","3,440","1,982","1,447","457","42","1","18,745","18,745","1,025","2,761","1,622","1,659","4,309","3,104","2,230","1,527","418","87","3","38,070","38,070","2,205","6,975","3,436","3,084","7,573","6,544","4,228","3,007","883","130","5","19,336","19,336","1,181","4,207","1,821","1,447","3,272","3,448","1,994","1,457","466","42","1","18,734","18,734","1,024","2,768","1,615","1,637","4,301","3,096","2,234","1,550","417","88","4","37,989","37,989","2,170","6,966","3,424","3,050","7,545","6,546","4,235","3,025","891","131","6","19,283","19,283","1,161","4,201","1,811","1,432","3,265","3,438","2,000","1,457","474","43","1","18,706","18,706","1,009","2,765","1,613","1,618","4,280","3,108","2,235","1,568","417","88","5","37,933","37,933","2,142","6,946","3,446","3,025","7,493","6,571","4,235","3,039","897","133","6","19,267","19,267","1,158","4,191","1,822","1,424","3,246","3,449","1,994","1,466","473","43","1","18,666","18,666","984","2,755","1,624","1,601","4,247","3,122","2,241","1,573","424","90","5","37,929","37,929","2,118","6,958","3,444","3,021","7,475","6,601","4,223","3,046","905","133","5","19,268","19,268","1,140","4,210","1,824","1,419","3,234","3,463","1,995","1,463","477","42","1","18,661","18,661","978","2,748","1,620","1,602","4,241","3,138","2,228","1,583","428","91","4"
