"행정구역","2026년01월_거주자 인구수","2026년01월_세대수","2026년01월_세대당 인구","2026년01월_남자 인구수","2026년01월_여자 인구수","2026년01월_남여 비율","2026년02월_거주자 인구수","2026년02월_세대수","2026년02월_세대당 인구","2026년02월_남자 인구수","2026년02월_여자 인구수","2026년02월_남여 비율","2026년03월_거주자 인구수","2026년03월_세대수","2026년03월_세대당 인구","2026년03월_남자 인구수","2026년03월_여자 인구수","2026년03월_남여 비율","2026년04월_거주자 인구수","2026년04월_세대수","2026년04월_세대당 인구","2026년04월_남자 인구수","2026년04월_여자 인구수","2026년04월_남여 비율","2026년05월_거주자 인구수","2026년05월_세대수","2026년05월_세대당 인구","2026년05월_남자 인구수","2026년05월_여자 인구수","2026년05월_남여 비율","2026년06월_거주자 인구수","2026년06월_세대수","2026년06월_세대당 인구","2026년06월_남자 인구수","2026년06월_여자 인구수","2026년06월_남여 비율"
"서울특별시 강남구 (1168000000)","548,767","240,229","          2.28","261,991","286,776","          0.91","548,452","240,275","          2.28","261,834","286,618","          0.91","547,136","240,031","          2.28","261,114","286,022","          0.91","546,252","239,876","          2.28","260,604","285,648","          0.91","545,960","239,946","          2.28","260,452","285,508","          0.91","545,825","239,877","          2.28","260,345","285,480","          0.91"
"서울특별시 강남구 신사동(1168051000)","14,759","6,360","          2.32","6,889","7,870","          0.88","14,756","6,381","          2.31","6,902","7,854","          0.88","14,697","6,371","          2.31","6,871","7,826","          0.88","14,713","6,386","          2.30","6,884","7,829","          0.88","14,710","6,389","          2.30","6,882","7,828","          0.88","14,697","6,377","          2.30","6,878","7,819","          0.88"
"서울특별시 강남구 논현1동(1168052100)","20,080","12,937","          1.55","9,484","10,596","          0.90","20,108","12,964","          1.55","9,528","10,580","          0.90","20,156","13,005","          1.55","9,533","10,623","          0.90","20,144","13,023","          1.55","9,505","10,639","          0.89","20,152","13,036","          1.55","9,510","10,642","          0.89","20,037","12,980","          1.54","9,462","10,575","          0.89"
"서울특별시 강남구 논현2동(1168053100)","19,600","10,790","          1.82","9,120","10,480","          0.87","19,576","10,779","          1.82","9,114","10,462","          0.87","19,556","10,767","          1.82","9,112","10,444","          0.87","19,592","10,775","          1.82","9,116","10,476","          0.87","19,597","10,772","          1.82","9,107","10,490","          0.87","19,611","10,753","          1.82","9,108","10,503","          0.87"
"서울특별시 강남구 압구정동(1168054500)","25,042","9,673","          2.59","11,648","13,394","          0.87","25,070","9,676","          2.59","11,649","13,421","          0.87","25,013","9,663","          2.59","11,615","13,398","          0.87","24,975","9,665","          2.58","11,602","13,373","          0.87","24,956","9,677","          2.58","11,592","13,364","          0.87","24,960","9,675","          2.58","11,582","13,378","          0.87"
"서울특별시 강남구 청담동(1168056500)","25,230","10,917","          2.31","11,789","13,441","          0.88","25,480","11,018","          2.31","11,892","13,588","          0.88","25,618","11,077","          2.31","11,935","13,683","          0.87","25,680","11,135","          2.31","11,964","13,716","          0.87","25,782","11,182","          2.31","12,020","13,762","          0.87","25,875","11,202","          2.31","12,070","13,805","          0.87"
"서울특별시 강남구 삼성1동(1168058000)","12,480","5,346","          2.33","6,055","6,425","          0.94","12,489","5,365","          2.33","6,055","6,434","          0.94","12,494","5,371","          2.33","6,058","6,436","          0.94","12,486","5,372","          2.32","6,054","6,432","          0.94","12,482","5,397","          2.31","6,059","6,423","          0.94","12,508","5,398","          2.32","6,075","6,433","          0.94"
"서울특별시 강남구 삼성2동(1168059000)","29,900","13,522","          2.21","14,222","15,678","          0.91","29,888","13,535","          2.21","14,211","15,677","          0.91","29,831","13,506","          2.21","14,165","15,666","          0.90","29,812","13,505","          2.21","14,167","15,645","          0.91","29,770","13,504","          2.20","14,146","15,624","          0.91","29,747","13,497","          2.20","14,133","15,614","          0.91"
"서울특별시 강남구 대치1동(1168060000)","23,512","7,103","          3.31","11,814","11,698","          1.01","23,503","7,098","          3.31","11,814","11,689","          1.01","23,437","7,099","          3.30","11,759","11,678","          1.01","23,398","7,108","          3.29","11,756","11,642","          1.01","23,367","7,111","          3.29","11,746","11,621","          1.01","23,369","7,117","          3.28","11,746","11,623","          1.01"
"서울특별시 강남구 대치2동(1168061000)","38,130","13,192","          2.89","19,387","18,743","          1.03","38,106","13,197","          2.89","19,361","18,745","          1.03","38,070","13,204","          2.88","19,336","18,734","          1.03","37,989","13,198","          2.88","19,283","18,706","          1.03","37,933","13,198","          2.87","19,267","18,666","          1.03","37,929","13,220","          2.87","19,268","18,661","          1.03"
"서울특별시 강남구 대치4동(1168063000)","17,747","9,358","          1.90","8,443","9,304","          0.91","17,767","9,374","          1.90","8,467","9,300","          0.91","17,745","9,388","          1.89","8,473","9,272","          0.91","17,777","9,396","          1.89","8,485","9,292","          0.91","17,746","9,381","          1.89","8,455","9,291","          0.91","17,771","9,399","          1.89","8,474","9,297","          0.91"
"서울특별시 강남구 역삼1동(1168064000)","33,270","23,093","          1.44","16,265","17,005","          0.96","33,300","23,097","          1.44","16,276","17,024","          0.96","33,245","23,084","          1.44","16,244","17,001","          0.96","33,256","23,078","          1.44","16,222","17,034","          0.95","33,332","23,114","          1.44","16,241","17,091","          0.95","33,348","23,116","          1.44","16,249","17,099","          0.95"
"서울특별시 강남구 역삼2동(1168065000)","35,577","15,218","          2.34","16,500","19,077","          0.86","35,540","15,220","          2.34","16,474","19,066","          0.86","35,501","15,246","          2.33","16,469","19,032","          0.87","35,473","15,235","          2.33","16,453","19,020","          0.87","35,448","15,242","          2.33","16,437","19,011","          0.86","35,477","15,276","          2.32","16,442","19,035","          0.86"
"서울특별시 강남구 도곡1동(1168065500)","20,528","8,254","          2.49","9,640","10,888","          0.89","20,600","8,292","          2.48","9,667","10,933","          0.88","20,553","8,303","          2.48","9,646","10,907","          0.88","20,540","8,313","          2.47","9,642","10,898","          0.88","20,545","8,338","          2.46","9,637","10,908","          0.88","20,549","8,338","          2.46","9,634","10,915","          0.88"
"서울특별시 강남구 도곡2동(1168065600)","31,654","11,184","          2.83","14,596","17,058","          0.86","31,578","11,178","          2.83","14,537","17,041","          0.85","31,411","11,127","          2.82","14,460","16,951","          0.85","31,225","11,059","          2.82","14,379","16,846","          0.85","31,209","11,077","          2.82","14,371","16,838","          0.85","31,133","11,073","          2.81","14,325","16,808","          0.85"
"서울특별시 강남구 개포1동(1168066000)","26,443","9,031","          2.93","12,721","13,722","          0.93","26,445","9,037","          2.93","12,726","13,719","          0.93","26,370","9,025","          2.92","12,682","13,688","          0.93","26,352","9,036","          2.92","12,677","13,675","          0.93","26,314","9,047","          2.91","12,675","13,639","          0.93","26,313","9,035","          2.91","12,670","13,643","          0.93"
"서울특별시 강남구 개포2동(1168067000)","41,546","14,691","          2.83","20,130","21,416","          0.94","41,073","14,521","          2.83","19,922","21,151","          0.94","40,468","14,299","          2.83","19,617","20,851","          0.94","39,919","14,099","          2.83","19,327","20,592","          0.94","39,737","14,023","          2.83","19,256","20,481","          0.94","39,784","14,020","          2.84","19,274","20,510","          0.94"
"서울특별시 강남구 개포3동(1168067500)","15,428","6,918","          2.23","7,391","8,037","          0.92","15,413","6,901","          2.23","7,400","8,013","          0.92","15,381","6,891","          2.23","7,385","7,996","          0.92","15,370","6,881","          2.23","7,370","8,000","          0.92","15,343","6,873","          2.23","7,354","7,989","          0.92","15,282","6,860","          2.23","7,326","7,956","          0.92"
"서울특별시 강남구 개포4동(1168069000)","22,643","9,802","          2.31","10,882","11,761","          0.93","22,646","9,814","          2.31","10,880","11,766","          0.92","22,616","9,809","          2.31","10,863","11,753","          0.92","22,666","9,827","          2.31","10,878","11,788","          0.92","22,686","9,837","          2.31","10,890","11,796","          0.92","22,695","9,826","          2.31","10,889","11,806","          0.92"
"서울특별시 강남구 세곡동(1168070000)","45,599","20,112","          2.27","21,292","24,307","          0.88","45,584","20,104","          2.27","21,291","24,293","          0.88","45,500","20,066","          2.27","21,263","24,237","          0.88","45,458","20,057","          2.27","21,229","24,229","          0.88","45,442","20,044","          2.27","21,225","24,217","          0.88","45,392","20,028","          2.27","21,208","24,184","          0.88"
"서울특별시 강남구 일원본동(1168072000)","22,266","7,880","          2.83","11,018","11,248","          0.98","22,203","7,871","          2.82","10,974","11,229","          0.98","22,131","7,859","          2.82","10,936","11,195","          0.98","22,161","7,878","          2.81","10,958","11,203","          0.98","22,148","7,867","          2.82","10,959","11,189","          0.98","22,133","7,863","          2.81","10,936","11,197","          0.98"
"서울특별시 강남구 일원1동(1168073000)","14,009","7,365","          1.90","6,707","7,302","          0.92","13,999","7,369","          1.90","6,706","7,293","          0.92","14,009","7,383","          1.90","6,704","7,305","          0.92","13,971","7,383","          1.89","6,684","7,287","          0.92","13,959","7,386","          1.89","6,666","7,293","          0.91","13,925","7,379","          1.89","6,642","7,283","          0.91"
"서울특별시 강남구 수서동(1168075000)","13,324","7,483","          1.78","5,998","7,326","          0.82","13,328","7,484","          1.78","5,988","7,340","          0.82","13,334","7,488","          1.78","5,988","7,346","          0.82","13,295","7,467","          1.78","5,969","7,326","          0.81","13,302","7,451","          1.79","5,957","7,345","          0.81","13,290","7,445","          1.79","5,954","7,336","          0.81"
