동이름,주소,위도,경도
신사동,서울 강남구 신사동,37.5223206,127.0277019
논현1동,서울 강남구 논현1동,37.5118674,127.0263023
논현2동,서울 강남구 논현2동,37.5137297,127.0367165
압구정동,서울 강남구 압구정동,37.5300432,127.0313346
청담동,서울 강남구 청담동,37.5257536,127.0523217
삼성1동,서울 강남구 삼성1동,37.5160429,127.0597931
삼성2동,서울 강남구 삼성2동,37.5137297,127.0478209
대치1동,서울 강남구 대치1동,37.4940606,127.058679
대치2동,서울 강남구 대치2동,37.5002743,127.0666661
대치4동,서울 강남구 대치4동,37.5016794,127.0548686
역삼1동,서울 강남구 역삼1동,37.4993379,127.0322076
역삼2동,서울 강남구 역삼2동,37.4985295,127.0448856
도곡1동,서울 강남구 도곡1동,37.4894457,127.0404171
도곡2동,서울 강남구 도곡2동,37.4879548,127.0528282
개포1동,서울 강남구 개포1동,37.4784866,127.0611157
개포2동,서울 강남구 개포2동,37.4828176,127.0682686
개포3동,서울 강남구 개포3동,37.494894,127.0781914
개포4동,서울 강남구 개포4동,37.4737233,127.0543243
세곡동,서울 강남구 세곡동,37.4708898,127.1033677
일원본동,서울 강남구 일원본동,37.4827959,127.08619
일원1동,서울 강남구 일원1동,37.4931379,127.0899616
수서동,서울 강남구 수서동,37.48445,127.09838
