행정구역,2026년06월_거주자_총인구수,2026년06월_거주자_0~9세,2026년06월_거주자_10~19세,2026년06월_거주자_20~29세,2026년06월_거주자_30~39세,2026년06월_거주자_40~49세,2026년06월_거주자_50~59세,2026년06월_거주자_60~69세,2026년06월_거주자_70~79세,2026년06월_거주자_80~89세,2026년06월_거주자_90~99세,2026년06월_거주자_100세 이상,동이름,주소,location,위도,경도
서울특별시 강남구 신사동(1168051000),14697,757,1449,1729,1830,2294,2543,1722,1439,797,132,5,신사동,서울 강남구 신사동,"신사동, 강남구, 서울특별시, 대한민국",37.5223206,127.0277019
서울특별시 강남구 논현1동(1168052100),20037,472,814,3199,5146,3437,2682,2068,1464,660,90,5,논현1동,서울 강남구 논현1동,"논현1동, 강남구, 서울특별시, 대한민국",37.5118674,127.0263023
서울특별시 강남구 논현2동(1168053100),19611,768,1201,2683,3990,3474,3051,2093,1542,697,107,5,논현2동,서울 강남구 논현2동,"논현2동, 강남구, 서울특별시, 대한민국",37.5137297,127.0367165
서울특별시 강남구 압구정동(1168054500),24960,1664,2740,2487,2651,4054,4215,3099,2536,1291,218,5,압구정동,서울 강남구 압구정동,"압구정동, 강남구, 서울특별시, 대한민국",37.5300432,127.0313346
서울특별시 강남구 청담동(1168056500),25875,1616,2416,3028,3647,4521,4206,3294,2101,906,137,3,청담동,서울 강남구 청담동,"청담동, 강남구, 서울특별시, 대한민국",37.5257536,127.0523217
서울특별시 강남구 삼성1동(1168058000),12508,651,1123,1475,1741,1873,2108,1694,1266,509,67,1,삼성1동,서울 강남구 삼성1동,"삼성1동, 강남구, 서울특별시, 대한민국",37.5160429,127.0597931
서울특별시 강남구 삼성2동(1168059000),29747,1663,3399,3617,4492,5626,5243,2625,1988,978,113,3,삼성2동,서울 강남구 삼성2동,"삼성2동, 강남구, 서울특별시, 대한민국",37.5137297,127.0478209
서울특별시 강남구 대치1동(1168060000),23369,1334,5320,2108,1192,5050,4311,2051,1442,478,81,2,대치1동,서울 강남구 대치1동,"대치1동, 강남구, 서울특별시, 대한민국",37.4940606,127.058679
서울특별시 강남구 대치2동(1168061000),37929,2118,6958,3444,3021,7475,6601,4223,3046,905,133,5,대치2동,서울 강남구 대치2동,"대치2동, 강남구, 서울특별시, 대한민국",37.5002743,127.0666661
서울특별시 강남구 대치4동(1168063000),17771,495,2019,2594,3099,3120,3244,1609,1040,495,56,0,대치4동,서울 강남구 대치4동,"대치4동, 강남구, 서울특별시, 대한민국",37.5016794,127.0548686
서울특별시 강남구 역삼1동(1168064000),33348,731,1236,5892,9607,5940,4320,2896,1821,787,115,3,역삼1동,서울 강남구 역삼1동,"역삼1동, 강남구, 서울특별시, 대한민국",37.4993379,127.0322076
서울특별시 강남구 역삼2동(1168065000),35477,1735,5696,4198,4347,7655,6331,2585,1936,886,106,2,역삼2동,서울 강남구 역삼2동,"역삼2동, 강남구, 서울특별시, 대한민국",37.4985295,127.0448856
서울특별시 강남구 도곡1동(1168065500),20549,1302,2499,2321,2782,3664,3207,2477,1626,570,100,1,도곡1동,서울 강남구 도곡1동,"도곡1동, 강남구, 서울특별시, 대한민국",37.4894457,127.0404171
서울특별시 강남구 도곡2동(1168065600),31133,2098,4579,3127,2807,5659,5324,3486,2720,1127,201,5,도곡2동,서울 강남구 도곡2동,"도곡2동, 강남구, 서울특별시, 대한민국",37.4879548,127.0528282
서울특별시 강남구 개포1동(1168066000),26313,2199,3656,2222,2826,4876,4242,3376,2196,629,88,3,개포1동,서울 강남구 개포1동,"개포1동, 강남구, 서울특별시, 대한민국",37.4784866,127.0611157
서울특별시 강남구 개포2동(1168067000),39784,3597,5158,3822,5592,7306,6370,4284,2782,754,117,2,개포2동,서울 강남구 개포2동,"개포2동, 강남구, 서울특별시, 대한민국",37.4828176,127.0682686
서울특별시 강남구 개포3동(1168067500),15282,903,1603,1183,2265,2676,2078,1960,1860,650,98,6,개포3동,서울 강남구 개포3동,"개포3동, 강남구, 서울특별시, 대한민국",37.494894,127.0781914
서울특별시 강남구 개포4동(1168069000),22695,1446,2090,2481,3527,3638,3709,3205,1874,623,99,3,개포4동,서울 강남구 개포4동,"개포4동, 강남구, 서울특별시, 대한민국",37.4737233,127.0543243
서울특별시 강남구 세곡동(1168070000),45392,3162,4924,4899,7411,7626,6373,5469,3654,1540,325,9,세곡동,서울 강남구 세곡동,"세곡동, 강남구, 서울특별시, 대한민국",37.4708898,127.1033677
서울특별시 강남구 일원본동(1168072000),22133,1507,3205,2017,2439,4187,3457,2819,1866,497,134,5,일원본동,서울 강남구 일원본동,"일원본동, 강남구, 서울특별시, 대한민국",37.4827959,127.08619
서울특별시 강남구 일원1동(1168073000),13925,474,878,1642,2182,1841,1955,2359,1818,661,113,2,일원1동,서울 강남구 일원1동,"일원1동, 강남구, 서울특별시, 대한민국",37.4931379,127.0899616
서울특별시 강남구 수서동(1168075000),13290,508,443,895,1848,1439,1570,2715,2705,986,170,11,수서동,서울 강남구 수서동,"수서동, 강남구, 서울특별시, 대한민국",37.48445,127.09838
