시설명,주소(도로명),건축면적(제곱미터),연면적(제곱미터),관리부서,준공일자
강남지역자활센터+강남구어린이급식관리지원센터,서울특별시 강남구 개포로38길 12,218.1,825,사회보장과,1989-08-27
강남구보건소,서울특별시 강남구 선릉로668,1399.55,7533.33,보건행정과,1975-12-26
신사동 주민센터,서울특별시 강남구 압구정로 128,254.34,1722.8,신사동 주민센터,2001-11-12
논현1동 주민센터,서울특별시 강남구 학동로20길 25,549.75,4003.3,논현1동 주민센터,2001-11-23
논현2동 주민센터,서울특별시 강남구 학동로43길 17,1010.46,7472.9,논현2동 주민센터,1997-08-31
압구정동 주민센터,서울특별시 강남구 압구정로33길 48,439.7,1402.2,압구정동 주민센터,1979-05-09
청담문화센터,서울특별시 강남구 압구정로79길 26 ,348.05,3203.2,청담동 주민센터,1991-10-12
삼성1문화센터,서울특별시 강남구 봉은사로 616,575.48,6543.8,삼성1동 주민센터,2009-09-06
삼성2문화센터,서울특별시 강남구 봉은사로 419,426.58,4144.9,삼성2동 주민센터,2004-11-12
대치1문화센터,서울특별시 강남구 남부순환로391길 19,283.11,2513.9,대치1동 주민센터,2008-03-05
대치2문화센터,서울특별시 강남구 영동대로65길 24,1615.61,9932.6,대치2동 주민센터,2006-08-05
대치4문화센터,서울특별시 강남구 도곡로77길 23,554.23,4238.7,대치4동 주민센터,2004-06-10
역삼1문화센터,서울특별시 강남구 역삼로7길 16,1294,10873.9,역삼1동 주민센터,2007-07-13
역삼2문화센터,서울특별시 강남구 도곡로43길 25,238.77,1975.7,역삼2동 주민센터,2010-02-11
도곡정보문화도서관,서울특별시 강남구 도곡로18길 57,1071.81,9976.6,도곡1동 주민센터,2012-12-14
도곡2문화센터,서울특별시 강남구 남부순환로378길 34-9,534.41,4780.8,도곡2동 주민센터,2009-09-18
개포1동 주민센터,서울특별시 강남구 개포동 660-1 일대(임시청사 : 개포로303),,,개포1동 주민센터,2023-12(준공예정)
